id,nom,systeme,sous_systeme,X,Y,Z,zone,ref_oe,ref_montee,etat,phase,couple_nm
r12v_001,Batterie 12V LiFePO4 (relocalisée coffre),reseau_12v,,340,0,25,DIS-BAT-12V,Batterie plomb 12V origine,EverExceed LiFePO4 12V 8Ah,origine,,
r12v_002,Diode Idéale Anti-Retour,reseau_12v,,335,0,28,DIS-BAT-12V,,LTC4359,origine,,
r12v_003,Ventilateur Caisson + Thermostat,reseau_12v,,335,10,30,DIS-BAT-12V,,KSD301 NO 40°C + ventilo PC 80mm,origine,,
r12v_004,Alternateur,reseau_12v,,25,25,55,SR-MOT-01,À DÉFINIR (alternateur K9K stock),Charbons + bagues neufs,origine,,
r12v_005,Démarreur,reseau_12v,,25,-20,45,SR-MOT-01,,Reconditionné (préventif),origine,,
r12v_006,Boîtier Fusibles Moteur (PDU),reseau_12v,,45,0,80,SR-MOT-01,,,origine,,
r12v_007,UCH (Platine Servitude Habitacle),reseau_12v,,180,0,45,SR-HAB-03,,,origine,,
r12v_008,Relais Préchauffage,reseau_12v,,48,5,78,SR-MOT-01,,,origine,,
r12v_009,GMV Ventilateur Radiateur,reseau_12v,,8,0,72,SR-MOT-01,,,origine,,
r12v_010,Pompe à Carburant + Jauge,reseau_12v,,300,0,30,DIS-BAT-12V,8200588625,,origine,,
r12v_011,Klaxon,reseau_12v,,10,20,85,SR-MOT-01,,,origine,,
r12v_012,Phare Avant Droit,reseau_12v,,5,55,70,SR-MOT-01,,,origine,,
r12v_013,Phare Avant Gauche,reseau_12v,,5,-55,70,SR-MOT-01,,,origine,,
r12v_014,Feu Arrière Droit,reseau_12v,,375,55,70,SR-HAB-03,,,origine,,
r12v_015,Feu Arrière Gauche,reseau_12v,,375,-55,70,SR-HAB-03,,,origine,,
r12v_016,Lunette Dégivrante,reseau_12v,,360,0,90,SR-HAB-03,,,origine,,
r12v_017,Moteur Essuie-Glace Avant,reseau_12v,,90,0,95,SR-HAB-03,,,origine,,
r12v_018,Pulseur d'Air Habitacle,reseau_12v,,140,15,55,SR-HAB-03,,,origine,,
r12v_019,Pompe ABS / ESP,reseau_12v,,62,-55,45,SR-CHAS-02,,,origine,,
r12v_020,Prise 12V / Allume-Cigare,reseau_12v,,150,0,50,SR-HAB-03,,,origine,,
r12v_021,Réservoir Liquide de Frein + Maître-Cylindre,reseau_12v,,30,30,60,SR-CHAS-02,,,origine,,
