id,type_cable,origine_signal,type_reseau,fonction
r12v_001,Cuivre Multibrins ISO 6722,Source,,Stockage énergie basse tension
r12v_002,Cuivre Multibrins ISO 6722,DIS-BAT-12V,,Protection inversion + chute tension
r12v_003,Cuivre Multibrins ISO 6722,DIS-BAT-12V,,Ventilation caisson (fail-ON)
r12v_004,Cuivre Multibrins ISO 6722,Source,,Charge batterie 12V (>13V)
r12v_005,Cuivre Multibrins ISO 6722,DIS-BAT-12V,,Démarrage moteur
r12v_006,Cuivre Multibrins ISO 6722,DIS-BAT-12V,,Distribution + protection compartiment avant
r12v_007,Cuivre Multibrins ISO 6722,SR-HAB-03,,Gestion servitudes habitacle
r12v_008,Cuivre Multibrins ISO 6722,SR-MOT-01,,Pilotage bougies préchauffage
r12v_009,Cuivre Multibrins ISO 6722,SR-MOT-01,,Refroidissement (consommateur fort)
r12v_010,Cuivre Multibrins ISO 6722,DIS-BAT-12V,,Alimentation gasoil + niveau réservoir
r12v_011,Cuivre Multibrins ISO 6722,SR-MOT-01,,Avertisseur sonore
r12v_012,Cuivre Multibrins ISO 6722,SR-MOT-01,,Éclairage avant droit
r12v_013,Cuivre Multibrins ISO 6722,SR-MOT-01,,Éclairage avant gauche
r12v_014,Cuivre Multibrins ISO 6722,SR-HAB-03,,Signalisation arrière droite
r12v_015,Cuivre Multibrins ISO 6722,SR-HAB-03,,Signalisation arrière gauche
r12v_016,Cuivre Multibrins ISO 6722,SR-HAB-03,,Dégivrage vitre arrière
r12v_017,Cuivre Multibrins ISO 6722,SR-HAB-03,,Essuyage pare-brise
r12v_018,Cuivre Multibrins ISO 6722,SR-HAB-03,,Ventilation habitacle (consommateur fort)
r12v_019,Cuivre Multibrins ISO 6722,SR-CHAS-02,,Groupe hydraulique freinage
r12v_020,Cuivre Multibrins ISO 6722,SR-HAB-03,,Accessoire 12V habitacle
r12v_021,Cuivre Multibrins ISO 6722,SR-CHAS-02,,Niveau liquide frein (témoin)
